ID,Data,Time
test1,"[[0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]]",1714483450.6386797
test2,1,1714483450.6394527
test3,"[[0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]]",1714483452.6544962
test1,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]]",1714483455.6656098
test2,2,1714483455.6664436
test3,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]]",1714483457.6809287
test1,"[[0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]]",1714483460.68751
test2,3,1714483460.6896486
test3,"[[0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]]",1714483462.6971617
test1,"[[0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]]",1714483465.7136517
