ID,Data
b2,"(48, 1)"
secret,"[[0.3053]
 [0.3081]
 [0.3052]
 [0.3081]
 [0.3043]
 [0.3073]
 [0.3099]
 [0.3124]
 [0.31  ]
 [0.3126]
 [0.3166]
 [0.3193]
 [0.3159]
 [0.319 ]
 [0.3138]
 [0.3174]
 [0.303 ]
 [0.3082]
 [0.3019]
 [0.3078]
 [0.3005]
 [0.307 ]
 [0.2973]
 [0.3046]
 [0.2993]
 [0.3068]
 [0.3023]
 [0.3098]
 [0.3031]
 [0.311 ]
 [0.2921]
 [0.302 ]
 [0.2832]
 [0.295 ]
 [0.2891]
 [0.3005]
 [0.2962]
 [0.3068]
 [0.3082]
 [0.3171]
 [0.3112]
 [0.3196]
 [0.3168]
 [0.3244]
 [0.3243]
 [0.3307]
 [0.3653]
 [0.3673]]"
b2,"(48, 1)"
secret,"[[0.3053]
 [0.3081]
 [0.3052]
 [0.3081]
 [0.3043]
 [0.3073]
 [0.3099]
 [0.3124]
 [0.31  ]
 [0.3126]
 [0.3166]
 [0.3193]
 [0.3159]
 [0.319 ]
 [0.3138]
 [0.3174]
 [0.303 ]
 [0.3082]
 [0.3019]
 [0.3078]
 [0.3005]
 [0.307 ]
 [0.2973]
 [0.3046]
 [0.2993]
 [0.3068]
 [0.3023]
 [0.3098]
 [0.3031]
 [0.311 ]
 [0.2921]
 [0.302 ]
 [0.2832]
 [0.295 ]
 [0.2891]
 [0.3005]
 [0.2962]
 [0.3068]
 [0.3082]
 [0.3171]
 [0.3112]
 [0.3196]
 [0.3168]
 [0.3244]
 [0.3243]
 [0.3307]
 [0.3653]
 [0.3673]]"
b2,"(1, 1)"
secret,[[0.0804]]
b2,"(48, 1)"
secret,"[[0.4251]
 [0.4319]
 [0.4249]
 [0.4317]
 [0.4227]
 [0.4295]
 [0.4345]
 [0.4406]
 [0.4345]
 [0.4408]
 [0.447 ]
 [0.4534]
 [0.4452]
 [0.4528]
 [0.44  ]
 [0.449 ]
 [0.4158]
 [0.4286]
 [0.4126]
 [0.4268]
 [0.4088]
 [0.4244]
 [0.4007]
 [0.4184]
 [0.4037]
 [0.422 ]
 [0.4093]
 [0.4276]
 [0.4101]
 [0.4292]
 [0.385 ]
 [0.4091]
 [0.3643]
 [0.393 ]
 [0.3745]
 [0.4019]
 [0.3871]
 [0.4125]
 [0.4128]
 [0.4338]
 [0.4181]
 [0.4379]
 [0.4295]
 [0.4469]
 [0.4445]
 [0.459 ]
 [0.5311]
 [0.5353]]"
b2,"(48, 1)"
secret,"[[0.3107]
 [0.3164]
 [0.3105]
 [0.3161]
 [0.3086]
 [0.3144]
 [0.3184]
 [0.3235]
 [0.3183]
 [0.3236]
 [0.3283]
 [0.3337]
 [0.3268]
 [0.3332]
 [0.3224]
 [0.3299]
 [0.3022]
 [0.3129]
 [0.2994]
 [0.3114]
 [0.2961]
 [0.3093]
 [0.2892]
 [0.3041]
 [0.2915]
 [0.3069]
 [0.2959]
 [0.3114]
 [0.2964]
 [0.3126]
 [0.2755]
 [0.2958]
 [0.2581]
 [0.2823]
 [0.266 ]
 [0.2892]
 [0.276 ]
 [0.2974]
 [0.2971]
 [0.3149]
 [0.3014]
 [0.318 ]
 [0.3106]
 [0.3253]
 [0.3229]
 [0.335 ]
 [0.3941]
 [0.3976]]"
b2,"(1, 1)"
secret,[[0.1789]]
b2,"(48, 1)"
secret,"[[0.4547]
 [0.4629]
 [0.4546]
 [0.4628]
 [0.452 ]
 [0.4603]
 [0.4668]
 [0.474 ]
 [0.4667]
 [0.4742]
 [0.4839]
 [0.4916]
 [0.4819]
 [0.4906]
 [0.4757]
 [0.4861]
 [0.4464]
 [0.4614]
 [0.443 ]
 [0.4598]
 [0.4389]
 [0.4574]
 [0.4297]
 [0.4507]
 [0.4344]
 [0.4559]
 [0.4419]
 [0.4634]
 [0.4437]
 [0.4662]
 [0.4139]
 [0.4424]
 [0.3898]
 [0.4238]
 [0.4042]
 [0.4365]
 [0.4216]
 [0.4517]
 [0.4533]
 [0.4781]
 [0.4605]
 [0.484 ]
 [0.475 ]
 [0.4958]
 [0.4937]
 [0.5111]
 [0.6014]
 [0.6064]]"
b2,"(48, 1)"
secret,"[[0.3034]
 [0.3097]
 [0.3034]
 [0.3096]
 [0.3014]
 [0.3077]
 [0.3126]
 [0.3181]
 [0.3126]
 [0.3183]
 [0.326 ]
 [0.3317]
 [0.3244]
 [0.3309]
 [0.3196]
 [0.3275]
 [0.2974]
 [0.3088]
 [0.2949]
 [0.3076]
 [0.2918]
 [0.3059]
 [0.2849]
 [0.3008]
 [0.2886]
 [0.3049]
 [0.2943]
 [0.3107]
 [0.2957]
 [0.3128]
 [0.2732]
 [0.2949]
 [0.2552]
 [0.281 ]
 [0.2662]
 [0.2908]
 [0.2796]
 [0.3025]
 [0.3037]
 [0.3225]
 [0.3092]
 [0.327 ]
 [0.3202]
 [0.3359]
 [0.3344]
 [0.3475]
 [0.4162]
 [0.4199]]"
b2,"(1, 1)"
secret,[[0.0994]]
b2,"(48, 1)"
secret,"[[0.4663]
 [0.4755]
 [0.4661]
 [0.4756]
 [0.4632]
 [0.4729]
 [0.4808]
 [0.4891]
 [0.481 ]
 [0.4895]
 [0.5025]
 [0.5112]
 [0.5001]
 [0.51  ]
 [0.493 ]
 [0.5048]
 [0.4587]
 [0.4756]
 [0.455 ]
 [0.4742]
 [0.4506]
 [0.4718]
 [0.4402]
 [0.4643]
 [0.4465]
 [0.4713]
 [0.4561]
 [0.4808]
 [0.4587]
 [0.4846]
 [0.4241]
 [0.4569]
 [0.3967]
 [0.436 ]
 [0.415 ]
 [0.4526]
 [0.4373]
 [0.472 ]
 [0.4746]
 [0.5033]
 [0.4838]
 [0.5108]
 [0.5011]
 [0.5251]
 [0.5238]
 [0.5434]
 [0.6522]
 [0.6578]]"
b2,"(48, 1)"
