ID,Data,Time

simulated_hour,1,81323.498
water_height,140,81323.499
k,0,81323.499
x_i,"[[0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.0998]
 [0.0998]
 [0.0927]
 [0.0927]
 [0.0876]
 [0.0876]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]]",81323.556
z_i,"[[0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.1093]
 [0.0998]
 [0.0998]
 [0.0927]
 [0.0927]
 [0.0876]
 [0.0876]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]
 [0.0827]]",81323.557
z,"[[0.1107 ]
 [0.11487]
 [0.1101 ]
 [0.1142 ]
 [0.10843]
 [0.11253]
 [0.11363]
 [0.117  ]
 [0.113  ]
 [0.11647]
 [0.11457]
 [0.11803]
 [0.11377]
 [0.1175 ]
 [0.11067]
 [0.115  ]
 [0.09893]
 [0.1042 ]
 [0.09933]
 [0.10147]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.0995 ]
 [0.10007]
 [0.09633]
 [0.0969 ]
 [0.09397]
 [0.09453]
 [0.09227]
 [0.09283]
 [0.09063]
 [0.0912 ]
 [0.09063]
 [0.0912 ]
 [0.11647]
 [0.11977]]",81323.567
lambda_i,"[[-0.0014 ]
 [-0.00557]
 [-0.0008 ]
 [-0.0049 ]
 [ 0.00087]
 [-0.00323]
 [-0.00433]
 [-0.0077 ]
 [-0.0037 ]
 [-0.00717]
 [-0.00527]
 [-0.00873]
 [-0.00447]
 [-0.0082 ]
 [-0.00137]
 [-0.0057 ]
 [ 0.01037]
 [ 0.0051 ]
 [ 0.00997]
 [ 0.00783]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.0098 ]
 [ 0.00923]
 [ 0.00347]
 [ 0.0029 ]
 [-0.00127]
 [-0.00183]
 [-0.00467]
 [-0.00523]
 [-0.00793]
 [-0.0085 ]
 [-0.00793]
 [-0.0085 ]
 [-0.03377]
 [-0.03707]]",81323.569
r_norm_squred,0.687,81323.571
s_norm,2.167,81323.571
