ID,Data,Time

Simulated_hour,1,81323.474
tower_tank_level,140,81323.491
Solution,"[[3.320e-02]
 [1.357e-01]
 [4.170e-02]
 [1.360e-01]
 [3.350e-02]
 [1.331e-01]
 [1.109e-01]
 [1.568e-01]
 [1.180e-01]
 [1.589e-01]
 [1.513e-01]
 [1.772e-01]
 [1.741e-01]
 [1.913e-01]
 [1.620e-01]
 [1.831e-01]
 [7.760e-02]
 [1.399e-01]
 [6.540e-02]
 [1.372e-01]
 [4.720e-02]
 [1.333e-01]
 [1.000e-04]
 [1.241e-01]
 [6.230e-02]
 [1.409e-01]
 [1.149e-01]
 [1.626e-01]
 [1.249e-01]
 [1.671e-01]
 [1.000e-04]
 [1.186e-01]
 [0.000e+00]
 [8.260e-02]
 [1.000e-04]
 [1.236e-01]
 [5.360e-02]
 [1.449e-01]
 [4.210e-02]
 [1.423e-01]
 [3.360e-02]
 [1.405e-01]
 [2.370e-02]
 [1.391e-01]
 [4.000e-03]
 [1.377e-01]
 [6.320e-02]
 [1.451e-01]]",81334.312
demand_pred,"[[0.11021]
 [0.10561]
 [0.10239]
 [0.11357]
 [0.14625]
 [0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]]",81334.315
electricity_price,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]]",81334.316
Simulated_hour,2,81923.485
tower_tank_level,180,81923.492
Solution,"[[4.090e-02]
 [1.354e-01]
 [3.250e-02]
 [1.325e-01]
 [1.103e-01]
 [1.565e-01]
 [1.174e-01]
 [1.586e-01]
 [1.508e-01]
 [1.768e-01]
 [1.735e-01]
 [1.910e-01]
 [1.614e-01]
 [1.828e-01]
 [7.800e-02]
 [1.398e-01]
 [6.580e-02]
 [1.370e-01]
 [4.730e-02]
 [1.333e-01]
 [1.000e-04]
 [1.240e-01]
 [6.240e-02]
 [1.409e-01]
 [1.150e-01]
 [1.624e-01]
 [1.250e-01]
 [1.670e-01]
 [0.000e+00]
 [1.186e-01]
 [0.000e+00]
 [8.250e-02]
 [0.000e+00]
 [1.236e-01]
 [5.370e-02]
 [1.449e-01]
 [4.230e-02]
 [1.422e-01]
 [3.370e-02]
 [1.404e-01]
 [2.390e-02]
 [1.390e-01]
 [4.200e-03]
 [1.376e-01]
 [4.410e-02]
 [1.398e-01]
 [6.210e-02]
 [1.436e-01]]",81935.147
demand_pred,"[[0.10561]
 [0.10239]
 [0.11357]
 [0.14625]
 [0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]]",81935.15
electricity_price,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.06]
 [0.08]
 [0.09]
 [0.09]
 [0.1 ]
 [0.11]
 [0.11]
 [0.11]
 [0.14]
 [0.16]
 [0.15]
 [0.15]
 [0.13]
 [0.13]
 [0.12]
 [0.11]
 [0.04]
 [0.04]]",81935.151
Simulated_hour,3,82523.49
tower_tank_level,228,82523.495
Solution,"[[3.050e-02]
 [1.318e-01]
 [1.094e-01]
 [1.559e-01]
 [1.164e-01]
 [1.579e-01]
 [1.500e-01]
 [1.761e-01]
 [1.727e-01]
 [1.903e-01]
 [1.606e-01]
 [1.821e-01]
 [7.820e-02]
 [1.400e-01]
 [6.610e-02]
 [1.370e-01]
 [4.740e-02]
 [1.333e-01]
 [1.000e-04]
 [1.240e-01]
 [6.260e-02]
 [1.407e-01]
 [1.151e-01]
 [1.624e-01]
 [1.250e-01]
 [1.670e-01]
 [1.000e-04]
 [1.184e-01]
 [0.000e+00]
 [8.230e-02]
 [0.000e+00]
 [1.234e-01]
 [5.390e-02]
 [1.448e-01]
 [4.240e-02]
 [1.421e-01]
 [3.380e-02]
 [1.404e-01]
 [2.400e-02]
 [1.390e-01]
 [4.400e-03]
 [1.375e-01]
 [3.480e-02]
 [1.378e-01]
 [5.520e-02]
 [1.415e-01]
 [7.040e-02]
 [1.447e-01]]",82534.904
demand_pred,"[[0.10239]
 [0.11357]
 [0.14625]
 [0.22402]
 [0.29658]
 [0.31331]
 [0.30683]
 [0.28956]
 [0.2696 ]
 [0.25575]
 [0.246  ]
 [0.24659]
 [0.2499 ]
 [0.25483]
 [0.24569]
 [0.22914]
 [0.19951]
 [0.1853 ]
 [0.17509]
 [0.1638 ]
 [0.14267]
 [0.12519]
 [0.115  ]
 [0.11448]]",82534.907
