ID,Data,Time

ref,0,81323.217
flow,0.0,81323.228
Pump_percentage,50.0,81323.229
flow,0.0,81324.245
Pump_percentage,50.0,81324.246
flow,0.0,81325.239
Pump_percentage,50.0,81325.24
flow,0.0,81326.243
Pump_percentage,50.0,81326.244
flow,0.0,81327.251
Pump_percentage,50.0,81327.252
flow,0.0,81328.259
Pump_percentage,50.0,81328.26
flow,0.0,81329.263
Pump_percentage,50.0,81329.264
flow,0.0,81330.275
Pump_percentage,50.0,81330.276
flow,0.0,81331.291
Pump_percentage,50.0,81331.292
flow,0.0,81332.291
Pump_percentage,50.0,81332.291
flow,0.0,81333.295
Pump_percentage,50.0,81333.296
flow,0.0,81334.307
Pump_percentage,50.0,81334.308
ref,0.0332,81335.312
flow,0.0,81335.323
Pump_percentage,50.2,81335.326
flow,0.0,81336.327
Pump_percentage,50.3,81336.329
flow,0.0,81337.339
Pump_percentage,50.5,81337.341
flow,0.0,81338.355
Pump_percentage,50.6,81338.356
flow,0.0,81339.373
Pump_percentage,50.7,81339.375
flow,0.0,81340.383
Pump_percentage,50.8,81340.385
flow,0.0,81341.399
Pump_percentage,50.9,81341.401
flow,0.0,81342.416
Pump_percentage,51.0,81342.417
flow,0.0,81343.42
Pump_percentage,51.2,81343.421
flow,0.0,81344.432
Pump_percentage,51.3,81344.433
flow,0.0,81345.436
Pump_percentage,51.4,81345.437
flow,0.0,81346.435
Pump_percentage,51.5,81346.437
flow,0.0,81347.455
Pump_percentage,51.6,81347.457
flow,0.0,81348.455
Pump_percentage,51.7,81348.457
flow,0.0,81349.459
Pump_percentage,51.9,81349.461
flow,0.0,81350.46
Pump_percentage,52.0,81350.46
flow,0.0,81351.475
Pump_percentage,52.1,81351.477
flow,0.0,81352.48
Pump_percentage,52.2,81352.481
flow,0.0,81353.483
Pump_percentage,52.3,81353.485
flow,0.0,81354.499
Pump_percentage,52.4,81354.5
flow,0.0,81355.507
Pump_percentage,52.5,81355.509
flow,0.0,81356.511
Pump_percentage,52.7,81356.513
flow,0.0,81357.519
Pump_percentage,52.8,81357.521
flow,0.0,81358.532
Pump_percentage,52.9,81358.533
flow,0.0,81359.537
Pump_percentage,53.0,81359.538
