ID,Data,Time

tank_consumer_mm,116,81325.105
tank_pump1_mm,450,81325.106
tank_pump2_mm,452,81325.106
tank_tower_mm,140,81325.106
Simulated_hour,1,81325.113
Demand,0.10682,81325.114
Flow_valve1,0.0006,81325.124
Flow_valve2,0.0012,81325.125
tank_consumer_mm,116,81326.157
tank_pump1_mm,450,81326.158
tank_pump2_mm,452,81326.159
tank_tower_mm,140,81326.16
Simulated_hour,1,81326.165
Demand,0.10682,81326.166
Flow_valve1,0.0006,81326.175
Flow_valve2,0.0012,81326.176
tank_consumer_mm,116,81327.213
tank_pump1_mm,450,81327.213
tank_pump2_mm,452,81327.213
tank_tower_mm,141,81327.214
Simulated_hour,1,81327.221
Demand,0.10682,81327.222
Flow_valve1,0.0006,81327.231
Flow_valve2,0.0018,81327.232
tank_consumer_mm,116,81328.265
tank_pump1_mm,450,81328.266
tank_pump2_mm,453,81328.266
tank_tower_mm,140,81328.266
Simulated_hour,1,81328.295
Demand,0.10682,81328.296
Flow_valve1,0.0006,81328.304
Flow_valve2,0.0012,81328.305
tank_consumer_mm,116,81329.333
tank_pump1_mm,450,81329.333
tank_pump2_mm,452,81329.333
tank_tower_mm,140,81329.333
Simulated_hour,1,81329.341
Demand,0.10682,81329.341
Flow_valve1,0.0006,81329.347
Flow_valve2,0.0012,81329.347
tank_consumer_mm,116,81330.369
tank_pump1_mm,450,81330.37
tank_pump2_mm,453,81330.37
tank_tower_mm,140,81330.37
Simulated_hour,1,81330.381
Demand,0.10682,81330.382
Flow_valve1,0.0006,81330.391
Flow_valve2,0.0018,81330.391
tank_consumer_mm,116,81331.417
tank_pump1_mm,450,81331.418
tank_pump2_mm,453,81331.419
tank_tower_mm,140,81331.419
Simulated_hour,1,81331.425
Demand,0.10682,81331.426
Flow_valve1,0.0006,81331.435
Flow_valve2,0.0012,81331.436
tank_consumer_mm,116,81332.469
tank_pump1_mm,450,81332.469
tank_pump2_mm,453,81332.47
tank_tower_mm,140,81332.47
Simulated_hour,1,81332.477
Demand,0.10682,81332.477
Flow_valve1,0.0006,81332.483
Flow_valve2,0.0012,81332.484
tank_consumer_mm,116,81333.521
tank_pump1_mm,450,81333.522
tank_pump2_mm,453,81333.522
tank_tower_mm,140,81333.522
Simulated_hour,1,81333.529
Demand,0.10682,81333.53
Flow_valve1,0.0006,81333.54
Flow_valve2,0.0012,81333.54
tank_consumer_mm,116,81334.577
tank_pump1_mm,450,81334.579
tank_pump2_mm,452,81334.579
tank_tower_mm,140,81334.579
Simulated_hour,1,81334.589
Demand,0.10682,81334.59
Flow_valve1,0.0006,81334.6
Flow_valve2,0.0018,81334.601
tank_consumer_mm,116,81335.638
tank_pump1_mm,450,81335.638
tank_pump2_mm,453,81335.64
tank_tower_mm,140,81335.64
Simulated_hour,1,81335.65
Demand,0.10682,81335.65
Flow_valve1,0.0006,81335.66
Flow_valve2,0.0012,81335.66
tank_consumer_mm,116,81336.689
tank_pump1_mm,450,81336.69
tank_pump2_mm,452,81336.691
tank_tower_mm,140,81336.692
Simulated_hour,1,81336.701
Demand,0.10682,81336.702
Flow_valve1,0.0006,81336.712
Flow_valve2,0.0012,81336.712
tank_consumer_mm,116,81337.749
tank_pump1_mm,450,81337.749
tank_pump2_mm,452,81337.751
tank_tower_mm,140,81337.751
Simulated_hour,1,81337.761
Demand,0.10682,81337.762
Flow_valve1,0.0006,81337.772
Flow_valve2,0.0018,81337.773
tank_consumer_mm,116,81338.809
tank_pump1_mm,450,81338.811
tank_pump2_mm,452,81338.811
tank_tower_mm,140,81338.812
Simulated_hour,1,81338.822
Demand,0.10682,81338.823
Flow_valve1,0.0006,81338.832
Flow_valve2,0.0012,81338.833
tank_consumer_mm,116,81339.869
tank_pump1_mm,450,81339.87
tank_pump2_mm,452,81339.871
tank_tower_mm,140,81339.872
Simulated_hour,1,81339.882
Demand,0.10682,81339.883
Flow_valve1,0.0006,81339.892
Flow_valve2,0.0018,81339.893
tank_consumer_mm,116,81340.93
tank_pump1_mm,450,81340.931
tank_pump2_mm,452,81340.931
tank_tower_mm,140,81340.932
Simulated_hour,1,81340.942
Demand,0.10682,81340.943
Flow_valve1,0.0006,81340.952
Flow_valve2,0.0012,81340.953
tank_consumer_mm,116,81341.99
tank_pump1_mm,450,81341.991
tank_pump2_mm,452,81341.992
tank_tower_mm,140,81341.992
Simulated_hour,1,81342.002
Demand,0.10682,81342.003
Flow_valve1,0.0006,81342.012
Flow_valve2,0.0018,81342.013
tank_consumer_mm,116,81343.05
tank_pump1_mm,450,81343.05
tank_pump2_mm,452,81343.05
tank_tower_mm,140,81343.05
Simulated_hour,1,81343.061
Demand,0.10682,81343.062
Flow_valve1,0.0006,81343.072
Flow_valve2,0.0018,81343.072
tank_consumer_mm,116,81344.105
tank_pump1_mm,450,81344.106
tank_pump2_mm,452,81344.107
tank_tower_mm,141,81344.108
Simulated_hour,1,81344.118
Demand,0.10682,81344.119
Flow_valve1,0.0006,81344.128
Flow_valve2,0.0018,81344.129
tank_consumer_mm,116,81345.165
tank_pump1_mm,450,81345.166
tank_pump2_mm,453,81345.167
tank_tower_mm,140,81345.168
Simulated_hour,1,81345.178
Demand,0.10682,81345.178
Flow_valve1,0.0006,81345.189
Flow_valve2,0.0012,81345.189
tank_consumer_mm,116,81346.225
tank_pump1_mm,450,81346.226
tank_pump2_mm,453,81346.227
tank_tower_mm,140,81346.228
Simulated_hour,1,81346.237
Demand,0.10682,81346.238
Flow_valve1,0.0006,81346.248
Flow_valve2,0.0012,81346.249
tank_consumer_mm,116,81347.277
tank_pump1_mm,450,81347.278
tank_pump2_mm,452,81347.279
tank_tower_mm,140,81347.28
Simulated_hour,1,81347.289
Demand,0.10682,81347.29
Flow_valve1,0.0006,81347.3
Flow_valve2,0.0018,81347.301
tank_consumer_mm,116,81348.337
tank_pump1_mm,450,81348.338
tank_pump2_mm,452,81348.339
tank_tower_mm,140,81348.34
Simulated_hour,1,81348.349
Demand,0.10682,81348.35
Flow_valve1,0.0006,81348.36
Flow_valve2,0.0012,81348.361
tank_consumer_mm,116,81349.389
tank_pump1_mm,450,81349.39
tank_pump2_mm,453,81349.391
tank_tower_mm,140,81349.392
Simulated_hour,1,81349.401
Demand,0.10682,81349.403
Flow_valve1,0.0006,81349.413
Flow_valve2,0.0012,81349.413
tank_consumer_mm,117,81350.45
tank_pump1_mm,450,81350.451
tank_pump2_mm,452,81350.452
tank_tower_mm,140,81350.453
Simulated_hour,1,81350.462
Demand,0.10682,81350.463
Flow_valve1,0.0378,81350.472
Flow_valve2,0.0012,81350.474
tank_consumer_mm,116,81351.497
tank_pump1_mm,450,81351.498
tank_pump2_mm,452,81351.499
tank_tower_mm,140,81351.5
Simulated_hour,1,81351.509
Demand,0.10682,81351.51
Flow_valve1,0.0834,81351.52
Flow_valve2,0.0018,81351.521
tank_consumer_mm,117,81352.545
tank_pump1_mm,450,81352.546
tank_pump2_mm,453,81352.547
tank_tower_mm,140,81352.547
Simulated_hour,1,81352.557
Demand,0.10682,81352.558
Flow_valve1,0.0864,81352.568
Flow_valve2,0.0012,81352.568
tank_consumer_mm,116,81353.597
tank_pump1_mm,450,81353.598
tank_pump2_mm,453,81353.599
tank_tower_mm,139,81353.6
Simulated_hour,1,81353.61
Demand,0.10682,81353.611
Flow_valve1,0.093,81353.621
Flow_valve2,0.0018,81353.621
tank_consumer_mm,117,81354.657
tank_pump1_mm,450,81354.658
tank_pump2_mm,453,81354.659
tank_tower_mm,139,81354.66
Simulated_hour,1,81354.669
Demand,0.10682,81354.67
Flow_valve1,0.0894,81354.68
Flow_valve2,0.0012,81354.681
tank_consumer_mm,117,81355.717
tank_pump1_mm,450,81355.718
tank_pump2_mm,452,81355.719
tank_tower_mm,139,81355.72
Simulated_hour,1,81355.729
Demand,0.10682,81355.73
Flow_valve1,0.0858,81355.741
Flow_valve2,0.0012,81355.741
tank_consumer_mm,117,81356.777
tank_pump1_mm,450,81356.778
tank_pump2_mm,452,81356.779
tank_tower_mm,139,81356.78
Simulated_hour,1,81356.789
Demand,0.10682,81356.789
Flow_valve1,0.0948,81356.8
Flow_valve2,0.0012,81356.801
tank_consumer_mm,117,81357.833
tank_pump1_mm,450,81357.834
tank_pump2_mm,452,81357.835
tank_tower_mm,139,81357.836
Simulated_hour,1,81357.847
Demand,0.10682,81357.848
Flow_valve1,0.105,81357.856
Flow_valve2,0.0012,81357.857
tank_consumer_mm,117,81358.893
tank_pump1_mm,450,81358.894
tank_pump2_mm,452,81358.895
tank_tower_mm,139,81358.896
Simulated_hour,1,81358.906
Demand,0.10682,81358.907
Flow_valve1,0.1038,81358.917
Flow_valve2,0.0018,81358.917
tank_consumer_mm,117,81359.958
tank_pump1_mm,450,81359.959
tank_pump2_mm,453,81359.959
tank_tower_mm,139,81359.96
Simulated_hour,1,81359.97
Demand,0.10682,81359.971
Flow_valve1,0.1062,81359.98
Flow_valve2,0.0012,81359.981
tank_consumer_mm,117,81361.017
tank_pump1_mm,450,81361.018
tank_pump2_mm,453,81361.019
tank_tower_mm,139,81361.02
Simulated_hour,1,81361.03
Demand,0.10682,81361.031
Flow_valve1,0.1056,81361.04
Flow_valve2,0.0012,81361.041
tank_consumer_mm,118,81362.077
tank_pump1_mm,450,81362.078
tank_pump2_mm,452,81362.079
tank_tower_mm,139,81362.08
Simulated_hour,1,81362.089
Demand,0.10682,81362.09
Flow_valve1,0.1032,81362.098
Flow_valve2,0.0012,81362.099
