ID,Data,Time

simulated_hour,1,81323.474
tank_tower_mm,140,81323.497
U,"[[0.0337]
 [0.1363]
 [0.0422]
 [0.1365]
 [0.034 ]
 [0.1336]
 [0.1114]
 [0.1572]
 [0.1185]
 [0.1594]
 [0.1517]
 [0.1777]
 [0.1745]
 [0.1917]
 [0.1624]
 [0.1836]
 [0.0781]
 [0.1403]
 [0.0659]
 [0.1375]
 [0.0476]
 [0.1338]
 [0.0006]
 [0.1246]
 [0.0628]
 [0.1414]
 [0.1154]
 [0.1629]
 [0.1253]
 [0.1676]
 [0.0006]
 [0.1191]
 [0.0005]
 [0.0831]
 [0.0006]
 [0.1241]
 [0.0541]
 [0.1454]
 [0.0426]
 [0.1427]
 [0.0341]
 [0.141 ]
 [0.0242]
 [0.1396]
 [0.0045]
 [0.1382]
 [0.0636]
 [0.1455]]",81334.311
simulated_hour,2,81923.485
tank_tower_mm,180,81923.492
U,"[[0.0413]
 [0.1358]
 [0.0329]
 [0.1329]
 [0.1108]
 [0.1569]
 [0.1178]
 [0.159 ]
 [0.1513]
 [0.1772]
 [0.174 ]
 [0.1914]
 [0.1619]
 [0.1832]
 [0.0784]
 [0.1403]
 [0.0662]
 [0.1375]
 [0.0477]
 [0.1337]
 [0.0005]
 [0.1245]
 [0.0629]
 [0.1414]
 [0.1154]
 [0.1629]
 [0.1254]
 [0.1674]
 [0.0005]
 [0.119 ]
 [0.0005]
 [0.0829]
 [0.0005]
 [0.124 ]
 [0.0542]
 [0.1453]
 [0.0428]
 [0.1426]
 [0.0342]
 [0.1409]
 [0.0243]
 [0.1395]
 [0.0047]
 [0.138 ]
 [0.0446]
 [0.1403]
 [0.0626]
 [0.1441]]",81935.144
simulated_hour,3,82523.49
tank_tower_mm,228,82523.495
U,"[[0.031 ]
 [0.1322]
 [0.1099]
 [0.1563]
 [0.1169]
 [0.1584]
 [0.1505]
 [0.1766]
 [0.1732]
 [0.1907]
 [0.1611]
 [0.1826]
 [0.0787]
 [0.1403]
 [0.0665]
 [0.1375]
 [0.0479]
 [0.1338]
 [0.0005]
 [0.1245]
 [0.063 ]
 [0.1412]
 [0.1156]
 [0.1629]
 [0.1255]
 [0.1674]
 [0.0006]
 [0.1188]
 [0.0005]
 [0.0827]
 [0.0005]
 [0.1238]
 [0.0543]
 [0.1452]
 [0.0428]
 [0.1425]
 [0.0343]
 [0.1408]
 [0.0244]
 [0.1394]
 [0.0047]
 [0.138 ]
 [0.0352]
 [0.1382]
 [0.0557]
 [0.1419]
 [0.0708]
 [0.1451]]",82534.908
simulated_hour,4,83123.503
tank_tower_mm,274,83123.509
U,"[[0.1077]
 [0.1549]
 [0.1148]
 [0.157 ]
 [0.1484]
 [0.1752]
 [0.1713]
 [0.1893]
 [0.159 ]
 [0.1812]
 [0.0789]
 [0.1403]
 [0.0667]
 [0.1374]
 [0.0481]
 [0.1336]
 [0.0006]
 [0.1243]
 [0.0631]
 [0.1411]
 [0.1155]
 [0.1628]
 [0.1255]
 [0.1673]
 [0.0005]
 [0.1187]
 [0.0004]
 [0.0825]
 [0.0005]
 [0.1236]
 [0.0544]
 [0.1451]
 [0.0429]
 [0.1424]
 [0.0344]
 [0.1407]
 [0.0245]
 [0.1393]
 [0.0048]
 [0.1379]
 [0.0225]
 [0.1359]
 [0.0462]
 [0.1397]
 [0.0631]
 [0.1429]
 [0.0774]
 [0.1458]]",83135.1
simulated_hour,5,83723.521
tank_tower_mm,364,83723.524
U,"[[0.1141]
 [0.1564]
 [0.1478]
 [0.1748]
 [0.1708]
 [0.1889]
 [0.1584]
 [0.1808]
 [0.0792]
 [0.1404]
 [0.0669]
 [0.1375]
 [0.0482]
 [0.1336]
 [0.0005]
 [0.1243]
 [0.0629]
 [0.141 ]
 [0.1155]
 [0.1628]
 [0.1255]
 [0.1673]
 [0.0005]
 [0.1187]
 [0.0004]
 [0.0825]
 [0.0004]
 [0.1235]
 [0.0544]
 [0.1451]
 [0.043 ]
 [0.1423]
 [0.0344]
 [0.1407]
 [0.0246]
 [0.1392]
 [0.0049]
 [0.1378]
 [0.015 ]
 [0.1347]
 [0.0408]
 [0.1386]
 [0.0588]
 [0.1418]
 [0.0737]
 [0.1446]
 [0.1277]
 [0.1654]]",83735.536
simulated_hour,6,84323.528
tank_tower_mm,435,84323.535
U,"[[0.1487]
 [0.1752]
 [0.1715]
 [0.1894]
 [0.1592]
 [0.1813]
 [0.0794]
 [0.1404]
 [0.0673]
 [0.1374]
 [0.0485]
 [0.1335]
 [0.0005]
 [0.1243]
 [0.0629]
 [0.141 ]
 [0.1156]
 [0.1627]
 [0.1256]
 [0.1673]
 [0.0005]
 [0.1186]
 [0.0004]
 [0.0823]
 [0.0005]
 [0.1234]
 [0.0545]
 [0.145 ]
 [0.0431]
 [0.1422]
 [0.0346]
 [0.1405]
 [0.0247]
 [0.1391]
 [0.0051]
 [0.1376]
 [0.0135]
 [0.1343]
 [0.0399]
 [0.1382]
 [0.0579]
 [0.1414]
 [0.0731]
 [0.1444]
 [0.1272]
 [0.1651]
 [0.1082]
 [0.1542]]",84335.389
simulated_hour,7,84923.54
tank_tower_mm,490,84923.543
