ID,Data,Time

test1 ,"[[0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]
 [0.1]]",1714575375.6471663
test2,1,1714575375.6471663
test3,1.0,1714575377.6482534
test4,"(42, 1)",1714575380.6486096
test1 ,"[[0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]
 [0.05]]",1714575382.649361
test2,2,1714575382.649361
test3,0.25,1714575384.6503663
test4,"(42, 1)",1714575387.6510763
test1 ,"[[0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]
 [0.03333333]]",1714575389.6517763
test2,3,1714575389.6517763
test3,0.1111111111111111,1714575391.6527512
test4,"(42, 1)",1714575394.6534483
test1 ,"[[0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]
 [0.025]]",1714575396.6539662
test2,4,1714575396.6544716
test3,0.0625,1714575398.655295
test4,"(42, 1)",1714575401.6559904
test1 ,"[[0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]
 [0.02]]",1714575403.6566834
test2,5,1714575403.657189
test3,0.04,1714575405.658069
test4,"(42, 1)",1714575408.6585474
test5,0.001,1714575410.659038
