ID,Data,Time

tank_consumer_mm,455,0.094
tank_pump1_mm,210,0.094
tank_pump2_mm,227,0.094
tank_tower_mm,270,0.095
Simulated_hour,1,0.105
Demand,0.10682,0.106
Flow_valve1,0.0,0.114
Flow_valve2,0.0012,0.115
tank_consumer_mm,455,1.141
tank_pump1_mm,210,1.141
tank_pump2_mm,227,1.142
tank_tower_mm,270,1.142
Simulated_hour,1,1.149
Demand,0.10682,1.15
Flow_valve1,0.0,1.156
Flow_valve2,0.0018,1.157
tank_consumer_mm,455,2.185
tank_pump1_mm,210,2.186
tank_pump2_mm,228,2.186
tank_tower_mm,270,2.186
Simulated_hour,1,2.193
Demand,0.10682,2.194
Flow_valve1,0.0,2.201
Flow_valve2,0.0018,2.201
tank_consumer_mm,455,3.238
tank_pump1_mm,210,3.239
tank_pump2_mm,228,3.241
tank_tower_mm,270,3.241
Simulated_hour,1,3.249
Demand,0.10682,3.249
Flow_valve1,0.0,3.26
Flow_valve2,0.0018,3.261
tank_consumer_mm,455,4.289
tank_pump1_mm,210,4.289
tank_pump2_mm,227,4.29
tank_tower_mm,270,4.29
Simulated_hour,1,4.305
Demand,0.10682,4.305
Flow_valve1,0.0,4.313
Flow_valve2,0.0018,4.313
tank_consumer_mm,455,5.341
tank_pump1_mm,210,5.341
tank_pump2_mm,227,5.342
tank_tower_mm,270,5.342
Simulated_hour,1,5.361
Demand,0.10682,5.361
Flow_valve1,0.0,5.368
Flow_valve2,0.0012,5.369
tank_consumer_mm,455,6.397
tank_pump1_mm,210,6.397
tank_pump2_mm,227,6.398
tank_tower_mm,270,6.399
Simulated_hour,1,6.409
Demand,0.10682,6.41
Flow_valve1,0.0,6.417
Flow_valve2,0.0012,6.418
tank_consumer_mm,455,7.469
tank_pump1_mm,210,7.469
tank_pump2_mm,227,7.47
tank_tower_mm,270,7.47
Simulated_hour,1,7.477
Demand,0.10682,7.477
Flow_valve1,0.0,7.485
Flow_valve2,0.0012,7.485
tank_consumer_mm,455,8.513
tank_pump1_mm,210,8.513
tank_pump2_mm,227,8.514
tank_tower_mm,270,8.514
Simulated_hour,1,8.521
Demand,0.10682,8.521
Flow_valve1,0.0,8.528
Flow_valve2,0.0012,8.529
tank_consumer_mm,455,9.557
tank_pump1_mm,210,9.558
tank_pump2_mm,227,9.558
tank_tower_mm,270,9.558
Simulated_hour,1,9.565
Demand,0.10682,9.565
Flow_valve1,0.0,9.572
Flow_valve2,0.0012,9.573
tank_consumer_mm,455,10.605
tank_pump1_mm,210,10.606
tank_pump2_mm,228,10.606
tank_tower_mm,270,10.606
Simulated_hour,1,10.613
Demand,0.10682,10.614
Flow_valve1,0.0,10.624
Flow_valve2,0.0018,10.625
tank_consumer_mm,455,11.686
tank_pump1_mm,210,11.687
tank_pump2_mm,227,11.687
tank_tower_mm,270,11.687
Simulated_hour,1,11.694
Demand,0.10682,11.694
Flow_valve1,0.0,11.701
Flow_valve2,0.0012,11.702
tank_consumer_mm,455,12.734
tank_pump1_mm,210,12.734
tank_pump2_mm,227,12.735
tank_tower_mm,270,12.736
Simulated_hour,1,12.745
Demand,0.10682,12.746
Flow_valve1,0.0,12.753
Flow_valve2,0.0012,12.754
tank_consumer_mm,455,13.785
tank_pump1_mm,210,13.786
tank_pump2_mm,227,13.788
tank_tower_mm,270,13.789
Simulated_hour,1,13.798
Demand,0.10682,13.798
Flow_valve1,0.0,13.805
Flow_valve2,0.0018,13.806
tank_consumer_mm,455,14.83
tank_pump1_mm,210,14.83
tank_pump2_mm,227,14.83
tank_tower_mm,270,14.831
Simulated_hour,1,14.837
Demand,0.10682,14.837
Flow_valve1,0.0,14.844
Flow_valve2,0.0012,14.845
tank_consumer_mm,455,15.878
tank_pump1_mm,210,15.879
tank_pump2_mm,227,15.879
tank_tower_mm,270,15.879
Simulated_hour,1,15.886
Demand,0.10682,15.887
Flow_valve1,0.0,15.893
Flow_valve2,0.0012,15.893
tank_consumer_mm,455,16.917
tank_pump1_mm,210,16.918
tank_pump2_mm,227,16.92
tank_tower_mm,270,16.92
Simulated_hour,1,16.93
Demand,0.10682,16.93
Flow_valve1,0.0,16.937
Flow_valve2,0.0012,16.938
tank_consumer_mm,455,17.969
tank_pump1_mm,210,17.97
tank_pump2_mm,227,17.971
tank_tower_mm,270,17.972
Simulated_hour,1,17.981
Demand,0.10682,17.982
Flow_valve1,0.0,17.989
Flow_valve2,0.0012,17.99
tank_consumer_mm,455,19.021
tank_pump1_mm,210,19.022
tank_pump2_mm,228,19.023
tank_tower_mm,270,19.024
Simulated_hour,1,19.034
Demand,0.10682,19.034
Flow_valve1,0.0,19.041
Flow_valve2,0.0018,19.042
tank_consumer_mm,455,20.069
tank_pump1_mm,210,20.07
tank_pump2_mm,227,20.071
tank_tower_mm,270,20.072
Simulated_hour,1,20.082
Demand,0.10682,20.082
Flow_valve1,0.0,20.089
Flow_valve2,0.0012,20.09
tank_consumer_mm,455,21.126
tank_pump1_mm,211,21.126
tank_pump2_mm,227,21.127
tank_tower_mm,269,21.128
Simulated_hour,1,21.138
Demand,0.10682,21.138
Flow_valve1,0.0,21.146
Flow_valve2,0.0018,21.146
tank_consumer_mm,455,22.178
tank_pump1_mm,210,22.179
tank_pump2_mm,227,22.18
tank_tower_mm,269,22.181
Simulated_hour,1,22.19
Demand,0.10682,22.19
Flow_valve1,0.0,22.202
Flow_valve2,0.0012,22.202
tank_consumer_mm,455,23.225
tank_pump1_mm,210,23.226
tank_pump2_mm,227,23.227
tank_tower_mm,269,23.228
Simulated_hour,1,23.237
Demand,0.10682,23.239
Flow_valve1,0.0036,23.245
Flow_valve2,0.0012,23.246
tank_consumer_mm,455,24.269
tank_pump1_mm,210,24.27
tank_pump2_mm,227,24.272
tank_tower_mm,269,24.273
Simulated_hour,1,24.282
Demand,0.10682,24.283
Flow_valve1,0.0558,24.289
Flow_valve2,0.0012,24.29
tank_consumer_mm,455,25.318
tank_pump1_mm,210,25.319
tank_pump2_mm,227,25.32
tank_tower_mm,269,25.321
Simulated_hour,1,25.331
Demand,0.10682,25.332
Flow_valve1,0.0876,25.341
Flow_valve2,0.0018,25.342
tank_consumer_mm,455,26.374
tank_pump1_mm,210,26.374
tank_pump2_mm,227,26.375
tank_tower_mm,269,26.376
Simulated_hour,1,26.385
Demand,0.10682,26.386
Flow_valve1,0.0984,26.393
Flow_valve2,0.0018,26.394
tank_consumer_mm,455,27.421
tank_pump1_mm,211,27.422
tank_pump2_mm,227,27.423
tank_tower_mm,269,27.424
Simulated_hour,1,27.434
Demand,0.10682,27.434
Flow_valve1,0.099,27.441
Flow_valve2,0.0012,27.442
tank_consumer_mm,456,28.473
tank_pump1_mm,210,28.474
tank_pump2_mm,227,28.475
tank_tower_mm,269,28.476
Simulated_hour,1,28.486
Demand,0.10682,28.486
Flow_valve1,0.0996,28.493
Flow_valve2,0.0012,28.494
tank_consumer_mm,456,29.525
tank_pump1_mm,210,29.526
tank_pump2_mm,227,29.528
tank_tower_mm,269,29.528
Simulated_hour,1,29.538
Demand,0.10682,29.539
Flow_valve1,0.093,29.55
Flow_valve2,0.0012,29.551
tank_consumer_mm,456,30.577
tank_pump1_mm,210,30.579
tank_pump2_mm,227,30.58
tank_tower_mm,269,30.581
Simulated_hour,1,30.59
Demand,0.10682,30.59
Flow_valve1,0.0936,30.602
Flow_valve2,0.0018,30.602
tank_consumer_mm,456,31.642
tank_pump1_mm,210,31.642
tank_pump2_mm,227,31.643
tank_tower_mm,269,31.644
Simulated_hour,1,31.654
Demand,0.10682,31.655
Flow_valve1,0.0972,31.661
Flow_valve2,0.0012,31.663
tank_consumer_mm,456,32.69
tank_pump1_mm,210,32.691
tank_pump2_mm,227,32.692
tank_tower_mm,269,32.693
Simulated_hour,1,32.702
Demand,0.10682,32.703
Flow_valve1,0.1014,32.71
Flow_valve2,0.0018,32.71
tank_consumer_mm,456,33.737
tank_pump1_mm,210,33.738
tank_pump2_mm,227,33.738
tank_tower_mm,269,33.739
Simulated_hour,1,33.745
Demand,0.10682,33.746
Flow_valve1,0.1002,33.753
Flow_valve2,0.0012,33.754
tank_consumer_mm,457,34.785
tank_pump1_mm,210,34.786
tank_pump2_mm,227,34.787
tank_tower_mm,269,34.788
Simulated_hour,1,34.798
Demand,0.10682,34.798
Flow_valve1,0.102,34.806
Flow_valve2,0.0018,34.807
tank_consumer_mm,456,35.837
tank_pump1_mm,210,35.838
tank_pump2_mm,227,35.84
tank_tower_mm,269,35.841
Simulated_hour,1,35.85
Demand,0.10682,35.85
Flow_valve1,0.1014,35.858
Flow_valve2,0.0012,35.859
tank_consumer_mm,456,36.885
tank_pump1_mm,210,36.886
tank_pump2_mm,227,36.887
tank_tower_mm,269,36.887
Simulated_hour,1,36.893
Demand,0.10682,36.894
Flow_valve1,0.0906,36.901
Flow_valve2,0.0012,36.902
tank_consumer_mm,457,37.928
tank_pump1_mm,210,37.93
tank_pump2_mm,227,37.931
tank_tower_mm,269,37.932
Simulated_hour,1,37.942
Demand,0.10682,37.942
Flow_valve1,0.0984,37.95
Flow_valve2,0.0012,37.951
tank_consumer_mm,457,38.97
tank_pump1_mm,210,38.971
tank_pump2_mm,227,38.972
tank_tower_mm,269,38.973
Simulated_hour,1,38.982
Demand,0.10682,38.983
Flow_valve1,0.0996,38.99
Flow_valve2,0.0018,38.991
tank_consumer_mm,457,40.014
tank_pump1_mm,209,40.015
tank_pump2_mm,227,40.016
tank_tower_mm,269,40.017
Simulated_hour,1,40.026
Demand,0.10682,40.026
