ID,Data,Time

ref,0,3266.15
flow,0.0,3266.164
flow,0.0,3267.164
flow,0.0,3268.168
flow,0.0,3269.172
flow,0.0,3270.172
flow,0.0,3271.176
flow,0.0,3272.192
flow,0.0,3273.203
flow,0.0,3274.208
flow,0.0,3275.227
ref,0.1213,3276.225
flow,0.0,3276.24
flow,0.0,3277.243
flow,0.0,3278.248
flow,0.0,3279.256
flow,0.0,3280.259
flow,0.0,3281.264
flow,0.0,3282.277
flow,0.0,3283.281
flow,0.0,3284.285
flow,0.0,3285.292
flow,0.0,3286.292
flow,0.0,3287.308
flow,0.0,3288.313
flow,0.0,3289.32
flow,0.0,3290.325
flow,0.0,3291.326
flow,0.0,3292.328
flow,0.0,3293.328
flow,0.0,3294.332
flow,0.0,3295.345
flow,0.0,3296.36
flow,0.0,3297.36
flow,0.0,3298.368
flow,0.0,3299.372
flow,0.0,3300.372
flow,0.0,3301.38
flow,0.0,3302.384
flow,0.0,3303.392
flow,0.0,3304.396
flow,0.0,3305.408
flow,0.0,3306.412
flow,0.0,3307.44
flow,0.0,3308.428
flow,0.0,3309.436
flow,0.0,3310.452
flow,0.0,3311.452
flow,0.0,3312.459
flow,0.0,3313.477
flow,0.0,3314.488
flow,0.0,3315.497
flow,0.0,3316.508
flow,0.0,3317.512
flow,0.0,3318.515
flow,0.0,3319.528
flow,0.0,3320.544
flow,0.0,3321.544
flow,0.0,3322.56
flow,0.0,3323.56
flow,0.0,3324.561
flow,0.0,3325.564
flow,0.0,3326.58
flow,0.0,3327.584
flow,0.0,3328.6
flow,0.0,3329.6
flow,0.0,3330.615
flow,0.0,3331.616
flow,0.0,3332.624
flow,0.0,3333.624
flow,0.0,3334.637
flow,0.0,3335.64
flow,0.0,3336.644
flow,0.0,3337.652
flow,0.0,3338.656
flow,0.0,3339.657
flow,0.0,3340.668
flow,0.0,3341.684
flow,0.0,3342.701
flow,0.0,3343.708
flow,0.0,3344.713
flow,0.0,3345.717
flow,0.0216,3346.732
flow,0.0528,3347.736
flow,0.0738,3348.744
flow,0.087,3349.753
flow,0.0948,3350.76
flow,0.0966,3351.769
flow,0.0948,3352.784
flow,0.0948,3353.788
flow,0.0948,3354.792
flow,0.093,3355.797
flow,0.0888,3356.8
flow,0.084,3357.8
flow,0.0828,3358.804
flow,0.084,3359.816
flow,0.0846,3360.832
flow,0.0906,3361.832
flow,0.099,3362.84
flow,0.1086,3363.852
flow,0.1188,3364.86
flow,0.126,3365.876
flow,0.123,3366.888
flow,0.1146,3367.901
flow,0.105,3368.912
flow,0.0978,3369.919
flow,0.0918,3370.932
flow,0.09,3371.949
flow,0.0936,3372.952
flow,0.1026,3373.964
flow,0.114,3374.976
flow,0.1248,3375.976
flow,0.1296,3376.985
flow,0.129,3377.984
flow,0.1248,3379.0
flow,0.12,3380.004
flow,0.1128,3381.008
flow,0.1038,3382.012
flow,0.099,3383.016
flow,0.099,3384.024
flow,0.1026,3385.028
flow,0.1086,3386.032
flow,0.117,3387.036
flow,0.1218,3388.041
flow,0.1236,3389.044
flow,0.1218,3390.06
flow,0.1206,3391.072
flow,0.1188,3392.089
flow,0.117,3393.095
flow,0.1146,3394.109
flow,0.1158,3395.112
flow,0.1146,3396.12
flow,0.1128,3397.128
flow,0.111,3398.128
flow,0.111,3399.137
flow,0.111,3400.148
flow,0.1098,3401.156
flow,0.1086,3402.161
flow,0.108,3403.164
flow,0.1116,3404.168
flow,0.1158,3405.169
flow,0.1176,3406.172
flow,0.1188,3407.176
flow,0.1188,3408.184
flow,0.1218,3409.185
flow,0.1248,3410.188
flow,0.126,3411.188
flow,0.1248,3412.204
flow,0.1218,3413.209
flow,0.1158,3414.22
flow,0.111,3415.237
flow,0.108,3416.252
flow,0.1086,3417.264
flow,0.1116,3418.269
flow,0.1158,3419.269
flow,0.1206,3420.281
flow,0.126,3421.288
flow,0.1308,3422.3
flow,0.1338,3423.317
flow,0.1338,3424.324
flow,0.1308,3425.336
flow,0.126,3426.345
flow,0.1176,3427.356
flow,0.111,3428.356
flow,0.1068,3429.356
flow,0.1068,3430.369
flow,0.1098,3431.38
flow,0.1146,3432.385
flow,0.1206,3433.396
flow,0.1236,3434.397
flow,0.1278,3435.412
flow,0.129,3436.429
flow,0.129,3437.435
flow,0.129,3438.452
flow,0.126,3439.456
flow,0.1206,3440.457
flow,0.117,3441.473
flow,0.114,3442.477
flow,0.114,3443.477
flow,0.117,3444.493
flow,0.1206,3445.491
flow,0.126,3446.496
flow,0.1266,3447.504
flow,0.1278,3448.512
flow,0.1266,3449.517
flow,0.126,3450.549
flow,0.1206,3451.548
flow,0.117,3452.553
flow,0.1116,3453.568
flow,0.1086,3454.581
flow,0.111,3455.589
flow,0.1158,3456.6
flow,0.1206,3457.612
flow,0.1248,3458.625
flow,0.126,3459.632
flow,0.1236,3460.637
flow,0.1188,3461.653
flow,0.1158,3462.665
flow,0.1146,3463.68
flow,0.1158,3464.692
