ID,Data,Time

tank_consumer_mm,61,3263.091
tank_pump1_mm,328,3263.092
tank_pump2_mm,313,3263.093
tank_tower_mm,459,3263.093
Simulated_hour,1,3263.114
Demand,0.10682,3263.114
Flow_valve1,0.0,3263.123
Flow_valve2,0.0018,3263.124
tank_consumer_mm,61,3264.158
tank_pump1_mm,328,3264.159
tank_pump2_mm,313,3264.16
tank_tower_mm,459,3264.16
Simulated_hour,1,3264.182
Demand,0.10682,3264.182
Flow_valve1,0.0,3264.191
Flow_valve2,0.0018,3264.192
tank_consumer_mm,61,3265.219
tank_pump1_mm,328,3265.219
tank_pump2_mm,313,3265.22
tank_tower_mm,459,3265.22
Simulated_hour,1,3265.242
Demand,0.10682,3265.242
Flow_valve1,0.0,3265.252
Flow_valve2,0.0012,3265.253
tank_consumer_mm,61,3266.287
tank_pump1_mm,328,3266.288
tank_pump2_mm,313,3266.288
tank_tower_mm,459,3266.288
Simulated_hour,1,3266.31
Demand,0.10682,3266.31
Flow_valve1,0.0,3266.319
Flow_valve2,0.0012,3266.32
tank_consumer_mm,61,3267.353
tank_pump1_mm,328,3267.353
tank_pump2_mm,312,3267.354
tank_tower_mm,459,3267.354
Simulated_hour,1,3267.378
Demand,0.10682,3267.378
Flow_valve1,0.0,3267.391
Flow_valve2,0.0012,3267.392
tank_consumer_mm,61,3268.419
tank_pump1_mm,328,3268.42
tank_pump2_mm,312,3268.421
tank_tower_mm,459,3268.422
Simulated_hour,1,3268.454
Demand,0.10682,3268.455
Flow_valve1,0.0,3268.464
Flow_valve2,0.0012,3268.464
tank_consumer_mm,61,3269.502
tank_pump1_mm,328,3269.503
tank_pump2_mm,312,3269.503
tank_tower_mm,459,3269.503
Simulated_hour,1,3269.543
Demand,0.10682,3269.543
Flow_valve1,0.0,3269.555
Flow_valve2,0.0012,3269.555
tank_consumer_mm,61,3270.591
tank_pump1_mm,328,3270.591
tank_pump2_mm,312,3270.592
tank_tower_mm,459,3270.592
Simulated_hour,1,3270.617
Demand,0.10682,3270.617
Flow_valve1,0.0,3270.624
Flow_valve2,0.0012,3270.624
tank_consumer_mm,61,3271.656
tank_pump1_mm,328,3271.656
tank_pump2_mm,312,3271.657
tank_tower_mm,459,3271.657
Simulated_hour,1,3271.678
Demand,0.10682,3271.679
Flow_valve1,0.0,3271.691
Flow_valve2,0.0018,3271.692
tank_consumer_mm,61,3272.724
tank_pump1_mm,328,3272.724
tank_pump2_mm,312,3272.725
tank_tower_mm,459,3272.725
Simulated_hour,1,3272.747
Demand,0.10682,3272.747
Flow_valve1,0.0,3272.756
Flow_valve2,0.0012,3272.757
tank_consumer_mm,61,3273.779
tank_pump1_mm,328,3273.779
tank_pump2_mm,312,3273.78
tank_tower_mm,459,3273.78
Simulated_hour,1,3273.802
Demand,0.10682,3273.802
Flow_valve1,0.0,3273.812
Flow_valve2,0.0018,3273.813
tank_consumer_mm,61,3274.842
tank_pump1_mm,328,3274.843
tank_pump2_mm,312,3274.843
tank_tower_mm,459,3274.843
Simulated_hour,1,3274.874
Demand,0.10682,3274.875
Flow_valve1,0.0,3274.884
Flow_valve2,0.0012,3274.884
tank_consumer_mm,61,3275.919
tank_pump1_mm,328,3275.919
tank_pump2_mm,312,3275.92
tank_tower_mm,459,3275.92
Simulated_hour,1,3275.942
Demand,0.10682,3275.942
Flow_valve1,0.0,3275.952
Flow_valve2,0.0018,3275.952
tank_consumer_mm,61,3276.983
tank_pump1_mm,328,3276.984
tank_pump2_mm,312,3276.985
tank_tower_mm,459,3276.986
Simulated_hour,1,3277.011
Demand,0.10682,3277.012
Flow_valve1,0.0,3277.02
Flow_valve2,0.0012,3277.021
tank_consumer_mm,61,3278.047
tank_pump1_mm,329,3278.048
tank_pump2_mm,313,3278.049
tank_tower_mm,459,3278.05
Simulated_hour,1,3278.075
Demand,0.10682,3278.076
Flow_valve1,0.0,3278.084
Flow_valve2,0.0012,3278.085
tank_consumer_mm,61,3279.116
tank_pump1_mm,329,3279.116
tank_pump2_mm,312,3279.117
tank_tower_mm,459,3279.117
Simulated_hour,1,3279.142
Demand,0.10682,3279.143
Flow_valve1,0.0,3279.152
Flow_valve2,0.0012,3279.153
tank_consumer_mm,61,3280.182
tank_pump1_mm,329,3280.184
tank_pump2_mm,312,3280.185
tank_tower_mm,459,3280.186
Simulated_hour,1,3280.211
Demand,0.10682,3280.212
Flow_valve1,0.0,3280.221
Flow_valve2,0.0012,3280.222
tank_consumer_mm,61,3281.255
tank_pump1_mm,328,3281.256
tank_pump2_mm,312,3281.258
tank_tower_mm,459,3281.258
Simulated_hour,1,3281.283
Demand,0.10682,3281.284
Flow_valve1,0.0,3281.292
Flow_valve2,0.0012,3281.293
tank_consumer_mm,61,3282.324
tank_pump1_mm,329,3282.325
tank_pump2_mm,312,3282.325
tank_tower_mm,459,3282.326
Simulated_hour,1,3282.351
Demand,0.10682,3282.352
Flow_valve1,0.0,3282.36
Flow_valve2,0.0012,3282.362
tank_consumer_mm,61,3283.395
tank_pump1_mm,329,3283.396
tank_pump2_mm,312,3283.397
tank_tower_mm,459,3283.398
Simulated_hour,1,3283.422
Demand,0.10682,3283.423
Flow_valve1,0.0,3283.433
Flow_valve2,0.0018,3283.433
tank_consumer_mm,61,3284.459
tank_pump1_mm,329,3284.46
tank_pump2_mm,312,3284.462
tank_tower_mm,459,3284.463
Simulated_hour,1,3284.487
Demand,0.10682,3284.488
Flow_valve1,0.0,3284.496
Flow_valve2,0.0012,3284.497
tank_consumer_mm,61,3285.523
tank_pump1_mm,329,3285.524
tank_pump2_mm,312,3285.524
tank_tower_mm,459,3285.525
Simulated_hour,1,3285.546
Demand,0.10682,3285.547
Flow_valve1,0.0,3285.556
Flow_valve2,0.0012,3285.558
tank_consumer_mm,61,3286.587
tank_pump1_mm,329,3286.588
tank_pump2_mm,313,3286.589
tank_tower_mm,459,3286.59
Simulated_hour,1,3286.615
Demand,0.10682,3286.616
Flow_valve1,0.0018,3286.625
Flow_valve2,0.0018,3286.626
tank_consumer_mm,61,3287.667
tank_pump1_mm,328,3287.668
tank_pump2_mm,312,3287.669
tank_tower_mm,459,3287.669
Simulated_hour,1,3287.695
Demand,0.10682,3287.696
Flow_valve1,0.042,3287.704
Flow_valve2,0.0012,3287.705
tank_consumer_mm,62,3288.74
tank_pump1_mm,328,3288.74
tank_pump2_mm,312,3288.742
