ID,Data,Time

simulated_hour,1,76319.044
tank_tower_mm,210,76319.06
U,"[[0.1816]
 [0.1978]]",76330.02
simulated_hour,2,76499.056
tank_tower_mm,247,76499.059
U,"[[0.1835]
 [0.198 ]]",76509.844
simulated_hour,3,76679.062
tank_tower_mm,297,76679.068
U,"[[0.1724]
 [0.1901]]",76689.629
simulated_hour,4,76859.073
tank_tower_mm,345,76859.079
U,"[[0.2127]
 [0.2145]]",76869.974
simulated_hour,5,77039.082
tank_tower_mm,400,77039.087
U,"[[0.2128]
 [0.2149]]",77050.008
simulated_hour,6,77219.085
tank_tower_mm,450,77219.09
U,"[[0.2328]
 [0.2299]]",77229.889
simulated_hour,7,77399.099
tank_tower_mm,491,77399.102
U,"[[0.2447]
 [0.2394]]",77410.273
simulated_hour,8,77579.114
tank_tower_mm,527,77579.118
U,"[[0.2138]
 [0.2175]]",77590.719
simulated_hour,9,77759.127
tank_tower_mm,557,77759.142
U,"[[0.1037]
 [0.1493]]",77770.475
simulated_hour,10,77939.132
tank_tower_mm,548,77939.144
U,"[[0.0009]
 [0.1223]]",77950.469
simulated_hour,11,78119.147
tank_tower_mm,520,78119.162
U,"[[0.0008]
 [0.089 ]]",78130.208
simulated_hour,12,78299.161
tank_tower_mm,489,78299.164
U,"[[0.0008]
 [0.0409]]",78310.559
simulated_hour,13,78479.168
tank_tower_mm,455,78479.171
U,"[[0.0007]
 [0.0364]]",78490.524
simulated_hour,14,78659.176
tank_tower_mm,418,78659.178
U,"[[0.0007]
 [0.0479]]",78670.432
simulated_hour,15,78839.183
tank_tower_mm,383,78839.187
U,"[[0.0007]
 [0.0416]]",78850.602
simulated_hour,16,79019.192
tank_tower_mm,350,79019.198
U,"[[0.0007]
 [0.0008]]",79030.611
simulated_hour,17,79199.207
tank_tower_mm,307,79199.21
U,"[[0.0007]
 [0.0007]]",79210.594
simulated_hour,18,79379.218
tank_tower_mm,263,79379.222
U,"[[0.0006]
 [0.0007]]",79390.417
simulated_hour,19,79559.229
tank_tower_mm,226,79559.233
U,"[[0.0006]
 [0.0007]]",79570.453
simulated_hour,20,79739.241
tank_tower_mm,190,79739.246
U,"[[0.0006]
 [0.0006]]",79751.286
simulated_hour,21,79919.258
tank_tower_mm,159,79919.264
U,"[[0.0005]
 [0.0005]]",79931.751
simulated_hour,22,80099.269
tank_tower_mm,129,80099.272
U,"[[0.0005]
 [0.0286]]",80111.342
simulated_hour,23,80279.275
tank_tower_mm,102,80279.28
U,"[[0.0007]
 [0.124 ]]",80291.527
simulated_hour,24,80459.293
tank_tower_mm,100,80459.299
U,"[[0.1487]
 [0.1825]]",80471.639
simulated_hour,25,80639.307
tank_tower_mm,135,80639.31
U,"[[0.1513]
 [0.1827]]",80651.343
